Time	Treating Pressure	Flow Rate	Density	Volume	TOT vol nrd	NRD VOLUME	RETURN VOL	total bla	RDA2 IN1
mm:dd:yyyy:hh:mm:ss	bars	l/min	sgu	m3	m3	m3	m3	m3	bars
____	______________	________	________	_______	___________	__________	__________	_________	________	
12:10:2023:14:42:58	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:42:59	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:00	flush lines
12:10:2023:14:43:00	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:01	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:02	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:03	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:04	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:05	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:06	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:07	3	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:08	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:09	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:10	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:11	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:12	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:13	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:14	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:15	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:16	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:17	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:18	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:19	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:20	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:21	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:22	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:23	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:24	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:25	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:26	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:27	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:28	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:29	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:30	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:31	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:32	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:33	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:34	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:35	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:36	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:37	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:38	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:39	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:40	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:41	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:42	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:43	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:44	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:45	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:46	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:47	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:48	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:49	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:50	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:51	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:52	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:53	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:54	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:55	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:56	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:57	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:58	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:43:59	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:00	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:01	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:02	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:03	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:04	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:05	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:06	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:07	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:08	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:09	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:10	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:11	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
12:10:2023:14:44:12	2	0	1.09	0.00	0.000	0.000	0.00	0.000	-259
