Well:	Amstelland	Gauge:	9380	Date:	Saturday, 9 December 2023
Test:	XLOT_9dec	Position:gauge depth 1.383 m MD	Time:	21:24:09
Uncompressed export: All data points included.

No Points: 33792     
Time			Delta Time	Pressure	Temperature
			Hours		psi absolute	°C
09-12-2023 21:24:09	0,00000000	    64,782	    12,9
09-12-2023 21:24:12	0,00083333	    64,532	    12,9
09-12-2023 21:24:15	0,00166667	    64,464	    12,9
09-12-2023 21:24:18	0,00250000	    64,532	    12,9
09-12-2023 21:24:21	0,00333333	    64,532	    12,9
09-12-2023 21:24:24	0,00416667	    64,214	    12,9
09-12-2023 21:24:27	0,00500000	    64,214	    12,9
09-12-2023 21:24:30	0,00583333	    64,214	    12,9
09-12-2023 21:24:33	0,00666667	    64,214	    12,9
09-12-2023 21:24:36	0,00750000	    64,214	    12,9
09-12-2023 21:24:39	0,00833333	    64,214	    12,9
09-12-2023 21:24:42	0,00916667	    63,259	    12,9
09-12-2023 21:24:45	0,01000000	    64,850	    12,9
09-12-2023 21:24:48	0,01083333	    65,168	    12,9
09-12-2023 21:24:51	0,01166667	    65,486	    12,9
09-12-2023 21:24:54	0,01250000	    66,123	    12,9
09-12-2023 21:24:57	0,01333333	    66,759	    12,9
09-12-2023 21:25:00	0,01416667	    67,146	    12,9
09-12-2023 21:25:03	0,01500000	    67,782	    12,9
09-12-2023 21:25:06	0,01583333	    68,100	    12,9
09-12-2023 21:25:09	0,01666667	    69,123	    12,9
09-12-2023 21:25:12	0,01750000	    69,510	    13,0
09-12-2023 21:25:15	0,01833333	    70,533	    13,0
09-12-2023 21:25:18	0,01916667	    71,169	    13,0
09-12-2023 21:25:21	0,02000000	    71,874	    13,0
09-12-2023 21:25:24	0,02083333	    72,579	    13,0
09-12-2023 21:25:27	0,02166667	    73,284	    13,1
09-12-2023 21:25:30	0,02250000	    73,990	    13,1
09-12-2023 21:25:33	0,02333333	    74,376	    13,1
09-12-2023 21:25:36	0,02416667	    75,400	    13,1
09-12-2023 21:25:39	0,02500000	    76,492	    13,2
09-12-2023 21:25:42	0,02583333	    77,129	    13,2
09-12-2023 21:25:45	0,02666667	    77,585	    13,2
09-12-2023 21:25:48	0,02750000	    78,927	    13,2
09-12-2023 21:25:51	0,02833333	    79,314	    13,3
09-12-2023 21:25:54	0,02916667	    80,020	    13,3
09-12-2023 21:25:57	0,03000000	    81,363	    13,3
09-12-2023 21:26:00	0,03083333	    81,999	    13,3
09-12-2023 21:26:03	0,03166667	    82,456	    13,3
09-12-2023 21:26:06	0,03250000	    83,411	    13,3
09-12-2023 21:26:09	0,03333333	    84,754	    13,4
09-12-2023 21:26:12	0,03416667	    85,779	    13,4
09-12-2023 21:26:15	0,03500000	    86,166	    13,4
09-12-2023 21:26:18	0,03583333	    87,191	    13,4
09-12-2023 21:26:21	0,03666667	    87,897	    13,4
09-12-2023 21:26:24	0,03750000	    88,853	    13,4
09-12-2023 21:26:27	0,03833333	    88,603	    13,5
09-12-2023 21:26:30	0,03916667	    89,240	    13,5
09-12-2023 21:26:33	0,04000000	    90,016	    13,5
09-12-2023 21:26:36	0,04083333	    91,359	    13,5
09-12-2023 21:26:39	0,04166667	    91,997	    13,5
09-12-2023 21:26:42	0,04250000	    92,315	    13,5
09-12-2023 21:26:45	0,04333333	    92,703	    13,6
09-12-2023 21:26:48	0,04416667	    93,022	    13,6
09-12-2023 21:26:51	0,04500000	    93,410	    13,6
09-12-2023 21:26:54	0,04583333	    93,728	    13,6
09-12-2023 21:26:57	0,04666667	    94,116	    13,6
09-12-2023 21:27:00	0,04750000	    94,366	    13,6
09-12-2023 21:27:03	0,04833333	    94,435	    13,6
09-12-2023 21:27:06	0,04916667	    94,435	    13,6
09-12-2023 21:27:09	0,05000000	    94,435	    13,6
09-12-2023 21:27:12	0,05083333	    94,116	    13,6
09-12-2023 21:27:15	0,05166667	    94,435	    13,6
09-12-2023 21:27:18	0,05250000	    94,116	    13,6
09-12-2023 21:27:21	0,05333333	    94,116	    13,6
09-12-2023 21:27:24	0,05416667	    93,798	    13,6
09-12-2023 21:27:27	0,05500000	    93,798	    13,6
09-12-2023 21:27:30	0,05583333	    93,867	    13,6
09-12-2023 21:27:33	0,05666667	    93,798	    13,6
09-12-2023 21:27:36	0,05750000	    93,548	    13,6
09-12-2023 21:27:39	0,05833333	    93,479	    13,6
09-12-2023 21:27:42	0,05916667	    93,548	    13,6
09-12-2023 21:27:45	0,06000000	    93,548	    13,6
09-12-2023 21:27:48	0,06083333	    93,479	    13,6
09-12-2023 21:27:51	0,06166667	    93,479	    13,6
09-12-2023 21:27:54	0,06250000	    93,479	    13,6
09-12-2023 21:27:57	0,06333333	    93,479	    13,6
09-12-2023 21:28:00	0,06416667	    94,504	    13,6
09-12-2023 21:28:03	0,06500000	    94,435	    13,6
09-12-2023 21:28:06	0,06583333	    95,072	    13,6
09-12-2023 21:28:09	0,06666667	    95,460	    13,6
09-12-2023 21:28:12	0,06750000	    95,710	    13,6
09-12-2023 21:28:15	0,06833333	    97,054	    13,6
09-12-2023 21:28:18	0,06916667	    96,735	    13,6
09-12-2023 21:28:21	0,07000000	    97,372	    13,6
09-12-2023 21:28:24	0,07083333	    98,010	    13,6
09-12-2023 21:28:27	0,07166667	    98,398	    13,6
09-12-2023 21:28:30	0,07250000	   100,061	    13,7
09-12-2023 21:28:33	0,07333333	   101,017	    13,7
09-12-2023 21:28:36	0,07416667	   101,724	    13,7
09-12-2023 21:28:39	0,07500000	   102,112	    13,7
09-12-2023 21:28:42	0,07583333	   103,069	    13,7
09-12-2023 21:28:45	0,07666667	   103,776	    13,7
09-12-2023 21:28:48	0,07750000	   104,483	    13,8
09-12-2023 21:28:51	0,07833333	   104,483	    13,8
09-12-2023 21:28:54	0,07916667	   105,509	    13,8
09-12-2023 21:28:57	0,08000000	   106,854	    13,8
09-12-2023 21:29:00	0,08083333	   107,173	    13,8
09-12-2023 21:29:03	0,08166667	   108,837	    13,8
09-12-2023 21:29:06	0,08250000	   108,588	    13,8
09-12-2023 21:29:09	0,08333333	   109,863	    13,8
09-12-2023 21:29:12	0,08416667	   110,571	    13,9
09-12-2023 21:29:15	0,08500000	   111,527	    13,9
09-12-2023 21:29:18	0,08583333	   112,235	    13,9
09-12-2023 21:29:21	0,08666667	   113,262	    13,9
09-12-2023 21:29:24	0,08750000	   113,899	    13,9
09-12-2023 21:29:27	0,08833333	   115,245	    13,9
09-12-2023 21:29:30	0,08916667	   116,202	    13,9
09-12-2023 21:29:33	0,09000000	   116,591	    13,9
09-12-2023 21:29:36	0,09083333	   117,228	    13,9
09-12-2023 21:29:39	0,09166667	   118,574	    14,0
09-12-2023 21:29:42	0,09250000	   119,531	    14,0
09-12-2023 21:29:45	0,09333333	   120,169	    14,0
09-12-2023 21:29:48	0,09416667	   119,920	    14,0
09-12-2023 21:29:51	0,09500000	   120,877	    14,0
09-12-2023 21:29:54	0,09583333	   121,266	    14,0
09-12-2023 21:29:57	0,09666667	   121,975	    14,0
09-12-2023 21:30:00	0,09750000	   122,613	    14,0
09-12-2023 21:30:03	0,09833333	   122,932	    14,0
09-12-2023 21:30:06	0,09916667	   123,569	    14,0
09-12-2023 21:30:09	0,10000000	   123,888	    14,0
09-12-2023 21:30:12	0,10083333	   123,959	    14,1
