Time	Treating Pressure	Flow Rate	Density	Volume	CMT Return Press	CMT Return Rate	CMT Return Dens	Return Volume
mm:dd:yyyy:hh:mm:ss	bars	l/min	sgu	m3	bars	l/min	sgu	m3
____	______________	________	________	_______	________________	_______________	_______________	_____________	
12:12:2023:13:58:45	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:46	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:47	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:48	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:49	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:50	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:51	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:52	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:53	0	0.0	1.00	0.000	0	0.0	0.37	0.000
12:12:2023:13:58:54	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:55	0	0.0	1.00	0.000	-1	0.0	0.37	0.000
12:12:2023:13:58:56	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:58:57	0	0.0	1.00	0.000	0	0.0	0.37	0.000
12:12:2023:13:58:58	0	0.0	1.00	0.000	0	0.0	0.37	0.000
12:12:2023:13:58:59	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:00	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:01	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:02	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:03	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:04	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:05	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:06	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:07	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:08	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:09	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:10	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:11	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:12	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:13	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:14	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:15	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:16	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:17	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:19	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:20	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:21	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:22	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:23	0	0.0	1.00	0.000	0	0.0	0.37	0.000
12:12:2023:13:59:24	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:25	0	0.0	1.00	0.000	-1	0.0	0.37	0.000
12:12:2023:13:59:26	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:27	0	0.0	1.00	0.000	1	0.0	0.37	0.000
12:12:2023:13:59:28	0	0.0	1.00	0.000	0	0.0	0.37	0.000
12:12:2023:13:59:29	0	0.0	1.00	0.000	-1	0.0	0.37	0.000
12:12:2023:13:59:30	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:31	0	0.0	1.00	0.000	-1	0.0	0.37	0.000
12:12:2023:13:59:32	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:33	0	0.0	1.00	0.000	0	0.0	0.37	0.000
12:12:2023:13:59:34	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:35	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:36	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:37	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:38	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:39	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:40	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:41	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:42	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
12:12:2023:13:59:43	0	0.0	1.00	0.000	-0	0.0	0.37	0.000
