Time	Treating Pressure	Flow Rate	Density	Volume	CMT Return Press	CMT Return Rate	CMT Return Dens	NRD Return Tot
mm:dd:yyyy:hh:mm:ss	bars	l/min	sgu	m3	bars	l/min	sgu	m3
____	______________	________	________	_______	________________	_______________	_______________	______________	
12:15:2023:12:38:44	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:45	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:46	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:47	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:48	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:49	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:50	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:51	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:52	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:12:38:53	0.0	0.0	1.01	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:23:32	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:33	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:34	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:35	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:36	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:37	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:38	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:39	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:40	0.0	0.0	1.08	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:23:41	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:42	0.0	0.0	1.08	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:23:43	0.0	0.0	1.08	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:23:44	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:45	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:46	0.0	0.0	1.08	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:23:47	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:48	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:49	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:50	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:51	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:52	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:53	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:54	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:55	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:56	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:57	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:58	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:23:59	0.0	0.0	1.08	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:24:00	0.0	0.0	1.08	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:24:01	0.0	19.6	0.65	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:24:02	0.0	0.0	0.25	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:24:03	0.0	0.0	0.09	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:24:04	0.0	0.0	0.04	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:24:05	0.0	0.0	0.02	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:24:06	0.0	0.0	0.02	0.000	-1.3	0.0	0.37	0.0
12:15:2023:13:24:07	0.0	0.0	0.05	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:24:08	1.0	0.0	0.33	0.000	-1.0	0.0	0.37	0.0
12:15:2023:13:24:09	0.0	210.1	0.85	0.002	-1.0	0.0	0.37	0.0
12:15:2023:13:24:10	0.0	186.1	1.02	0.003	-1.0	0.0	0.37	0.0
12:15:2023:13:24:11	0.0	164.9	1.08	0.003	-1.0	0.0	0.37	0.0
12:15:2023:13:24:12	0.0	140.1	1.09	0.003	-1.0	0.0	0.37	0.0
12:15:2023:13:24:13	0.0	140.1	1.09	0.002	-1.0	0.0	0.37	0.0
12:15:2023:13:24:14	0.0	124.1	1.10	0.002	-1.0	0.0	0.37	0.0
