Well:	Amstelland	Gauge:	9380	Date:	15 December 2023
Test:	XLOT3	Position:gauge depth 659.25 m MD	Time:	09:29:55
Uncompressed export: All data points included.

No Points: 11648     
Point No.	 Time			Delta Time	Pressure	Temperature
        	 			Hours		psi absolute	°C
       1	 15-12-2023 09:29:55	0.00000000	    66.083	    14.6
       2	 15-12-2023 09:29:58	0.00083333	    66.151	    14.6
       3	 15-12-2023 09:30:01	0.00166667	    66.287	    14.7
       4	 15-12-2023 09:30:04	0.00250000	    66.355	    14.7
       5	 15-12-2023 09:30:07	0.00333333	    66.104	    14.7
       6	 15-12-2023 09:30:10	0.00416667	    66.172	    14.7
       7	 15-12-2023 09:30:13	0.00500000	    66.240	    14.8
       8	 15-12-2023 09:30:16	0.00583333	    66.308	    14.8
       9	 15-12-2023 09:30:19	0.00666667	    66.308	    14.8
      10	 15-12-2023 09:30:22	0.00750000	    66.375	    14.8
      11	 15-12-2023 09:30:25	0.00833333	    66.124	    14.8
      12	 15-12-2023 09:30:28	0.00916667	    66.124	    14.8
      13	 15-12-2023 09:30:31	0.01000000	    66.192	    14.8
      14	 15-12-2023 09:30:34	0.01083333	    66.260	    14.9
      15	 15-12-2023 09:30:37	0.01166667	    66.260	    14.9
      16	 15-12-2023 09:30:40	0.01250000	    66.260	    14.9
      17	 15-12-2023 09:30:43	0.01333333	    66.260	    14.9
      18	 15-12-2023 09:30:46	0.01416667	    66.328	    14.9
      19	 15-12-2023 09:30:49	0.01500000	    66.328	    14.9
      20	 15-12-2023 09:30:52	0.01583333	    66.396	    14.9
      21	 15-12-2023 09:30:55	0.01666667	    66.396	    14.9
      22	 15-12-2023 09:30:58	0.01750000	    66.144	    14.9
      23	 15-12-2023 09:31:01	0.01833333	    66.463	    14.9
      24	 15-12-2023 09:31:04	0.01916667	    68.700	    14.9
      25	 15-12-2023 09:31:07	0.02000000	    72.283	    14.9
      26	 15-12-2023 09:31:10	0.02083333	    75.478	    14.9
      27	 15-12-2023 09:31:13	0.02166667	    79.449	    15.0
      28	 15-12-2023 09:31:16	0.02250000	    83.352	    15.0
      29	 15-12-2023 09:31:19	0.02333333	    87.005	    15.1
      30	 15-12-2023 09:31:22	0.02416667	    90.339	    15.1
      31	 15-12-2023 09:31:25	0.02500000	    93.742	    15.2
      32	 15-12-2023 09:31:28	0.02583333	    95.937	    15.3
      33	 15-12-2023 09:31:31	0.02666667	    96.144	    15.3
      34	 15-12-2023 09:31:34	0.02750000	    96.420	    15.4
      35	 15-12-2023 09:31:37	0.02833333	    96.697	    15.5
      36	 15-12-2023 09:31:40	0.02916667	    96.653	    15.6
      37	 15-12-2023 09:31:43	0.03000000	    96.541	    15.6
      38	 15-12-2023 09:31:46	0.03083333	    96.497	    15.7
      39	 15-12-2023 09:31:49	0.03166667	    96.384	    15.8
      40	 15-12-2023 09:31:52	0.03250000	    96.271	    15.9
      41	 15-12-2023 09:31:55	0.03333333	    96.409	    15.9
      42	 15-12-2023 09:31:58	0.03416667	    96.616	    16.0
      43	 15-12-2023 09:32:01	0.03500000	    96.365	    16.0
      44	 15-12-2023 09:32:04	0.03583333	    96.572	    16.0
      45	 15-12-2023 09:32:07	0.03666667	    96.321	    16.1
      46	 15-12-2023 09:32:10	0.03750000	    96.390	    16.1
      47	 15-12-2023 09:32:13	0.03833333	    96.528	    16.1
      48	 15-12-2023 09:32:16	0.03916667	    96.597	    16.1
      49	 15-12-2023 09:32:19	0.04000000	    96.346	    16.2
      50	 15-12-2023 09:32:22	0.04083333	    96.346	    16.2
      51	 15-12-2023 09:32:25	0.04166667	    96.415	    16.2
      52	 15-12-2023 09:32:28	0.04250000	    96.804	    16.2
      53	 15-12-2023 09:32:31	0.04333333	    96.553	    16.2
      54	 15-12-2023 09:32:34	0.04416667	    96.553	    16.2
      55	 15-12-2023 09:32:37	0.04500000	    96.622	    16.3
      56	 15-12-2023 09:32:40	0.04583333	    96.622	    16.3
      57	 15-12-2023 09:32:43	0.04666667	    96.691	    16.3
      58	 15-12-2023 09:32:46	0.04750000	    96.691	    16.3
      59	 15-12-2023 09:32:49	0.04833333	    96.370	    16.3
      60	 15-12-2023 09:32:52	0.04916667	    96.760	    16.3
      61	 15-12-2023 09:32:55	0.05000000	    97.401	    16.3
      62	 15-12-2023 09:32:58	0.05083333	   100.994	    16.3
      63	 15-12-2023 09:33:01	0.05166667	   103.878	    16.3
      64	 15-12-2023 09:33:04	0.05250000	   108.043	    16.3
      65	 15-12-2023 09:33:07	0.05333333	   112.278	    16.4
      66	 15-12-2023 09:33:10	0.05416667	   115.232	    16.4
      67	 15-12-2023 09:33:13	0.05500000	   118.506	    16.4
      68	 15-12-2023 09:33:16	0.05583333	   122.812	    16.4
      69	 15-12-2023 09:33:19	0.05666667	   125.516	    16.5
      70	 15-12-2023 09:33:22	0.05750000	   126.618	    16.5
      71	 15-12-2023 09:33:25	0.05833333	   126.047	    16.5
      72	 15-12-2023 09:33:28	0.05916667	   126.899	    16.6
      73	 15-12-2023 09:33:31	0.06000000	   126.719	    16.6
      74	 15-12-2023 09:33:34	0.06083333	   126.859	    16.7
      75	 15-12-2023 09:33:37	0.06166667	   126.929	    16.7
      76	 15-12-2023 09:33:40	0.06250000	   126.498	    16.8
      77	 15-12-2023 09:33:43	0.06333333	   126.569	    16.8
      78	 15-12-2023 09:33:46	0.06416667	   126.709	    16.8
      79	 15-12-2023 09:33:49	0.06500000	   126.779	    16.9
      80	 15-12-2023 09:33:52	0.06583333	   126.920	    16.9
      81	 15-12-2023 09:33:55	0.06666667	   126.990	    16.9
      82	 15-12-2023 09:33:58	0.06750000	   126.669	    16.9
      83	 15-12-2023 09:34:01	0.06833333	   126.739	    17.0
      84	 15-12-2023 09:34:04	0.06916667	   126.809	    17.0
      85	 15-12-2023 09:34:07	0.07000000	   126.809	    17.0
      86	 15-12-2023 09:34:10	0.07083333	   126.879	    17.0
      87	 15-12-2023 09:34:13	0.07166667	   126.559	    17.0
      88	 15-12-2023 09:34:16	0.07250000	   126.629	    17.0
      89	 15-12-2023 09:34:19	0.07333333	   126.629	    17.0
      90	 15-12-2023 09:34:22	0.07416667	   126.699	    17.0
      91	 15-12-2023 09:34:25	0.07500000	   127.020	    17.0
      92	 15-12-2023 09:34:28	0.07583333	   126.699	    17.0
      93	 15-12-2023 09:34:31	0.07666667	   126.769	    17.0
      94	 15-12-2023 09:34:34	0.07750000	   126.769	    17.0
      95	 15-12-2023 09:34:37	0.07833333	   126.769	    17.0
      96	 15-12-2023 09:34:40	0.07916667	   126.839	    17.1
      97	 15-12-2023 09:34:43	0.08000000	   126.769	    17.0
      98	 15-12-2023 09:34:46	0.08083333	   126.839	    17.1
      99	 15-12-2023 09:34:49	0.08166667	   126.839	    17.1
     100	 15-12-2023 09:34:52	0.08250000	   126.839	    17.1
     101	 15-12-2023 09:34:55	0.08333333	   126.909	    17.1
     102	 15-12-2023 09:34:58	0.08416667	   126.909	    17.1
     103	 15-12-2023 09:35:01	0.08500000	   126.909	    17.1
     104	 15-12-2023 09:35:04	0.08583333	   126.909	    17.1
     105	 15-12-2023 09:35:07	0.08666667	   126.909	    17.1
     106	 15-12-2023 09:35:10	0.08750000	   126.588	    17.1
     107	 15-12-2023 09:35:13	0.08833333	   126.979	    17.1
     108	 15-12-2023 09:35:16	0.08916667	   128.263	    17.1
     109	 15-12-2023 09:35:19	0.09000000	   131.472	    17.1
     110	 15-12-2023 09:35:22	0.09083333	   136.607	    17.1
     111	 15-12-2023 09:35:25	0.09166667	   142.133	    17.1
     112	 15-12-2023 09:35:28	0.09250000	   148.623	    17.2
     113	 15-12-2023 09:35:31	0.09333333	   153.437	    17.2
     114	 15-12-2023 09:35:34	0.09416667	   155.755	    17.2
     115	 15-12-2023 09:35:37	0.09500000	   156.147	    17.2
     116	 15-12-2023 09:35:40	0.09583333	   156.861	    17.2
     117	 15-12-2023 09:35:43	0.09666667	   156.682	    17.3
     118	 15-12-2023 09:35:46	0.09750000	   157.788	    17.3
     119	 15-12-2023 09:35:49	0.09833333	   157.217	    17.3
     120	 15-12-2023 09:35:52	0.09916667	   156.718	    17.4
     121	 15-12-2023 09:35:55	0.10000000	   156.789	    17.4
     122	 15-12-2023 09:35:58	0.10083333	   156.861	    17.4
     123	 15-12-2023 09:36:01	0.10166667	   156.611	    17.4
     124	 15-12-2023 09:36:04	0.10250000	   157.003	    17.5
     125	 15-12-2023 09:36:07	0.10333333	   157.003	    17.5
     126	 15-12-2023 09:36:10	0.10416667	   156.825	    17.5
     127	 15-12-2023 09:36:13	0.10500000	   156.825	    17.5
     128	 15-12-2023 09:36:16	0.10583333	   156.575	    17.5
     129	 15-12-2023 09:36:19	0.10666667	   156.575	    17.5
     130	 15-12-2023 09:36:22	0.10750000	   156.646	    17.5
     131	 15-12-2023 09:36:25	0.10833333	   156.718	    17.6
     132	 15-12-2023 09:36:28	0.10916667	   157.039	    17.6
     133	 15-12-2023 09:36:31	0.11000000	   156.789	    17.6
     134	 15-12-2023 09:36:34	0.11083333	   157.110	    17.6
     135	 15-12-2023 09:36:37	0.11166667	   156.789	    17.6
     136	 15-12-2023 09:36:40	0.11250000	   156.789	    17.6
     137	 15-12-2023 09:36:43	0.11333333	   156.860	    17.6
     138	 15-12-2023 09:36:46	0.11416667	   156.860	    17.6
     139	 15-12-2023 09:36:49	0.11500000	   156.860	    17.6
     140	 15-12-2023 09:36:52	0.11583333	   156.860	    17.6
     141	 15-12-2023 09:36:55	0.11666667	   156.860	    17.6
     142	 15-12-2023 09:36:58	0.11750000	   157.824	    17.6
     143	 15-12-2023 09:37:01	0.11833333	   160.073	    17.6
     144	 15-12-2023 09:37:04	0.11916667	   165.605	    17.6
     145	 15-12-2023 09:37:07	0.12000000	   170.424	    17.6
     146	 15-12-2023 09:37:10	0.12083333	   175.636	    17.7
     147	 15-12-2023 09:37:13	0.12166667	   181.346	    17.6
     148	 15-12-2023 09:37:16	0.12250000	   184.952	    17.7
     149	 15-12-2023 09:37:19	0.12333333	   185.989	    17.7
     150	 15-12-2023 09:37:22	0.12416667	   186.704	    17.7
     151	 15-12-2023 09:37:25	0.12500000	   187.346	    17.7
     152	 15-12-2023 09:37:28	0.12583333	   185.885	    17.7
     153	 15-12-2023 09:37:31	0.12666667	   186.849	    17.7
     154	 15-12-2023 09:37:34	0.12750000	   186.921	    17.8
     155	 15-12-2023 09:37:37	0.12833333	   186.994	    17.8
     156	 15-12-2023 09:37:40	0.12916667	   187.066	    17.8
     157	 15-12-2023 09:37:43	0.13000000	   187.139	    17.8
     158	 15-12-2023 09:37:46	0.13083333	   186.818	    17.8
     159	 15-12-2023 09:37:49	0.13166667	   186.496	    17.8
     160	 15-12-2023 09:37:52	0.13250000	   187.533	    17.9
     161	 15-12-2023 09:37:55	0.13333333	   186.963	    17.9
     162	 15-12-2023 09:37:58	0.13416667	   186.963	    17.9
     163	 15-12-2023 09:38:01	0.13500000	   187.357	    17.9
     164	 15-12-2023 09:38:04	0.13583333	   186.714	    17.9
     165	 15-12-2023 09:38:07	0.13666667	   186.714	    17.9
     166	 15-12-2023 09:38:10	0.13750000	   187.108	    17.9
     167	 15-12-2023 09:38:13	0.13833333	   187.108	    17.9
     168	 15-12-2023 09:38:16	0.13916667	   187.108	    17.9
     169	 15-12-2023 09:38:19	0.14000000	   187.108	    17.9
     170	 15-12-2023 09:38:22	0.14083333	   187.108	    17.9
     171	 15-12-2023 09:38:25	0.14166667	   187.108	    17.9
     172	 15-12-2023 09:38:28	0.14250000	   187.180	    17.9
     173	 15-12-2023 09:38:31	0.14333333	   186.859	    17.9
     174	 15-12-2023 09:38:34	0.14416667	   186.859	    17.9
     175	 15-12-2023 09:38:37	0.14500000	   187.180	    17.9
     176	 15-12-2023 09:38:40	0.14583333	   189.109	    17.9
     177	 15-12-2023 09:38:43	0.14666667	   194.003	    18.0
     178	 15-12-2023 09:38:46	0.14750000	   198.182	    18.0
     179	 15-12-2023 09:38:49	0.14833333	   204.290	    18.0
     180	 15-12-2023 09:38:52	0.14916667	   209.111	    18.0
     181	 15-12-2023 09:38:55	0.15000000	   212.721	    18.0
     182	 15-12-2023 09:38:58	0.15083333	   216.009	    18.0
     183	 15-12-2023 09:39:01	0.15166667	   216.974	    18.0
     184	 15-12-2023 09:39:04	0.15250000	   217.938	    18.0
     185	 15-12-2023 09:39:07	0.15333333	   217.690	    18.0
     186	 15-12-2023 09:39:10	0.15416667	   216.800	    18.0
     187	 15-12-2023 09:39:13	0.15500000	   217.838	    18.1
     188	 15-12-2023 09:39:16	0.15583333	   217.269	    18.1
     189	 15-12-2023 09:39:19	0.15666667	   217.269	    18.1
     190	 15-12-2023 09:39:22	0.15750000	   217.021	    18.1
     191	 15-12-2023 09:39:25	0.15833333	   217.021	    18.1
     192	 15-12-2023 09:39:28	0.15916667	   217.095	    18.1
     193	 15-12-2023 09:39:31	0.16000000	   217.095	    18.1
     194	 15-12-2023 09:39:34	0.16083333	   217.416	    18.1
     195	 15-12-2023 09:39:37	0.16166667	   217.168	    18.1
     196	 15-12-2023 09:39:40	0.16250000	   217.490	    18.1
     197	 15-12-2023 09:39:43	0.16333333	   217.168	    18.1
     198	 15-12-2023 09:39:46	0.16416667	   217.242	    18.2
     199	 15-12-2023 09:39:49	0.16500000	   216.920	    18.2
     200	 15-12-2023 09:39:52	0.16583333	   216.920	    18.2
     201	 15-12-2023 09:39:55	0.16666667	   216.920	    18.2
     202	 15-12-2023 09:39:58	0.16750000	   217.242	    18.2
     203	 15-12-2023 09:40:01	0.16833333	   217.242	    18.2
     204	 15-12-2023 09:40:04	0.16916667	   217.316	    18.2
     205	 15-12-2023 09:40:07	0.17000000	   217.316	    18.2
     206	 15-12-2023 09:40:10	0.17083333	   216.994	    18.2
     207	 15-12-2023 09:40:13	0.17166667	   217.316	    18.2
     208	 15-12-2023 09:40:16	0.17250000	   218.602	    18.2
     209	 15-12-2023 09:40:19	0.17333333	   223.105	    18.2
     210	 15-12-2023 09:40:22	0.17416667	   228.250	    18.2
     211	 15-12-2023 09:40:25	0.17500000	   234.435	    18.2
     212	 15-12-2023 09:40:28	0.17583333	   237.577	    18.2
     213	 15-12-2023 09:40:31	0.17666667	   242.797	    18.2
     214	 15-12-2023 09:40:34	0.17750000	   245.370	    18.2
     215	 15-12-2023 09:40:37	0.17833333	   246.014	    18.2
     216	 15-12-2023 09:40:40	0.17916667	   248.983	    18.2
     217	 15-12-2023 09:40:43	0.18000000	   247.450	    18.3
     218	 15-12-2023 09:40:46	0.18083333	   247.450	    18.3
     219	 15-12-2023 09:40:49	0.18166667	   247.278	    18.3
     220	 15-12-2023 09:40:52	0.18250000	   246.956	    18.3
     221	 15-12-2023 09:40:55	0.18333333	   247.278	    18.3
     222	 15-12-2023 09:40:58	0.18416667	   247.278	    18.3
     223	 15-12-2023 09:41:01	0.18500000	   247.353	    18.3
     224	 15-12-2023 09:41:04	0.18583333	   247.353	    18.3
     225	 15-12-2023 09:41:07	0.18666667	   247.428	    18.3
     226	 15-12-2023 09:41:10	0.18750000	   247.106	    18.3
     227	 15-12-2023 09:41:13	0.18833333	   247.428	    18.3
     228	 15-12-2023 09:41:16	0.18916667	   247.428	    18.3
     229	 15-12-2023 09:41:19	0.19000000	   247.503	    18.4
     230	 15-12-2023 09:41:22	0.19083333	   247.503	    18.4
     231	 15-12-2023 09:41:25	0.19166667	   247.503	    18.4
     232	 15-12-2023 09:41:28	0.19250000	   247.181	    18.4
     233	 15-12-2023 09:41:31	0.19333333	   247.181	    18.4
     234	 15-12-2023 09:41:34	0.19416667	   247.503	    18.4
     235	 15-12-2023 09:41:37	0.19500000	   247.256	    18.4
     236	 15-12-2023 09:41:40	0.19583333	   247.578	    18.4
     237	 15-12-2023 09:41:43	0.19666667	   247.578	    18.4
     238	 15-12-2023 09:41:46	0.19750000	   248.543	    18.4
     239	 15-12-2023 09:41:49	0.19833333	   248.221	    18.4
     240	 15-12-2023 09:41:52	0.19916667	   254.334	    18.4
     241	 15-12-2023 09:41:55	0.20000000	   259.160	    18.4
     242	 15-12-2023 09:41:58	0.20083333	   263.986	    18.4
     243	 15-12-2023 09:42:01	0.20166667	   270.099	    18.4
     244	 15-12-2023 09:42:04	0.20250000	   274.357	    18.4
     245	 15-12-2023 09:42:07	0.20333333	   276.288	    18.4
     246	 15-12-2023 09:42:10	0.20416667	   276.042	    18.4
     247	 15-12-2023 09:42:13	0.20500000	   277.973	    18.4
     248	 15-12-2023 09:42:16	0.20583333	   277.405	    18.5
     249	 15-12-2023 09:42:19	0.20666667	   276.440	    18.5
     250	 15-12-2023 09:42:22	0.20750000	   278.693	    18.5
     251	 15-12-2023 09:42:25	0.20833333	   277.160	    18.5
     252	 15-12-2023 09:42:28	0.20916667	   277.482	    18.5
     253	 15-12-2023 09:42:31	0.21000000	   277.558	    18.5
     254	 15-12-2023 09:42:34	0.21083333	   277.236	    18.5
     255	 15-12-2023 09:42:37	0.21166667	   276.914	    18.5
     256	 15-12-2023 09:42:40	0.21250000	   277.236	    18.5
     257	 15-12-2023 09:42:43	0.21333333	   277.558	    18.5
     258	 15-12-2023 09:42:46	0.21416667	   276.990	    18.5
     259	 15-12-2023 09:42:49	0.21500000	   277.634	    18.5
     260	 15-12-2023 09:42:52	0.21583333	   277.634	    18.5
     261	 15-12-2023 09:42:55	0.21666667	   277.634	    18.5
     262	 15-12-2023 09:42:58	0.21750000	   277.312	    18.5
     263	 15-12-2023 09:43:01	0.21833333	   277.710	    18.5
     264	 15-12-2023 09:43:04	0.21916667	   277.066	    18.5
     265	 15-12-2023 09:43:07	0.22000000	   277.312	    18.5
